iter	Passed	Remaining
657	994	516
658	996	515
659	997	513
660	998	512
661	999	510
662	1000	508
663	1002	507
664	1003	505
665	1004	503
666	1005	502
667	1007	500
668	1008	498
669	1009	497
670	1010	495
671	1011	493
672	1013	492
673	1014	490
674	1015	488
675	1016	487
676	1017	485
677	1018	483
678	1020	482
679	1021	480
680	1022	479
681	1023	477
682	1025	475
683	1026	474
684	1027	472
685	1028	470
686	1029	469
687	1031	467
688	1032	465
689	1033	464
690	1034	462
691	1035	460
692	1037	459
693	1038	457
694	1040	456
695	1041	454
696	1042	453
697	1043	451
698	1044	449
699	1045	448
700	1047	446
701	1048	444
702	1049	443
703	1050	441
704	1051	440
705	1052	438
706	1053	436
707	1054	435
708	1055	433
709	1057	431
710	1058	430
711	1059	428
712	1060	426
713	1061	425
714	1062	423
715	1063	422
716	1065	420
717	1066	418
718	1067	417
719	1068	415
720	1070	414
721	1071	412
722	1072	411
723	1073	409
724	1074	407
725	1076	406
726	1077	404
727	1078	403
728	1079	401
729	1081	399
730	1082	398
731	1083	396
732	1084	395
733	1085	393
734	1087	392
735	1088	390
736	1090	389
737	1092	387
738	1093	386
739	1095	384
740	1096	383
741	1098	381
742	1099	380
743	1100	378
744	1101	376
745	1102	375
746	1103	373
747	1104	372
748	1106	370
749	1107	369
750	1108	367
751	1109	365
752	1111	364
753	1112	362
754	1113	361
755	1114	359
756	1116	358
757	1117	356
758	1118	355
759	1119	353
760	1120	352
761	1121	350
762	1123	348
763	1124	347
764	1125	345
765	1126	344
766	1127	342
767	1129	341
768	1130	339
769	1132	338
770	1133	336
771	1134	335
772	1136	333
773	1137	332
774	1138	330
775	1139	329
776	1141	327
777	1142	326
778	1144	324
779	1145	323
780	1146	321
781	1147	319
782	1148	318
783	1149	316
784	1150	315
785	1151	313
786	1152	311
787	1153	310
788	1154	308
789	1156	307
790	1157	305
791	1158	304
792	1160	302
793	1161	301
794	1162	299
795	1163	298
796	1164	296
797	1166	295
798	1167	293
799	1168	292
800	1169	290
801	1171	289
802	1172	287
803	1174	286
804	1175	284
805	1176	283
806	1178	281
807	1179	280
808	1181	278
809	1183	277
810	1184	276
811	1185	274
812	1187	273
813	1188	271
814	1190	270
815	1192	268
816	1193	267
817	1195	265
818	1196	264
819	1201	263
820	1202	262
821	1204	260
822	1205	259
823	1207	258
824	1209	256
825	1210	254
826	1211	253
827	1213	252
828	1214	250
829	1215	249
830	1217	247
831	1218	246
832	1219	244
833	1221	243
834	1222	241
835	1223	240
836	1224	238
837	1226	237
838	1227	235
839	1230	234
840	1232	233
841	1234	231
842	1235	230
843	1236	228
844	1238	227
845	1239	225
846	1241	224
847	1242	222
848	1244	221
849	1245	219
850	1246	218
851	1248	216
852	1249	215
853	1250	213
854	1252	212
855	1253	210
856	1254	209
857	1255	207
858	1257	206
859	1259	204
860	1260	203
861	1262	202
862	1263	200
863	1265	199
864	1266	197
865	1268	196
866	1269	194
867	1270	193
868	1272	191
869	1273	190
870	1275	188
871	1277	187
872	1278	185
873	1279	184
874	1281	183
875	1282	181
876	1283	180
877	1285	178
878	1286	177
879	1288	175
880	1290	174
881	1291	172
882	1293	171
883	1294	169
884	1295	168
885	1297	166
886	1298	165
887	1299	163
888	1300	162
889	1301	160
890	1302	159
891	1304	157
892	1305	156
893	1306	154
894	1307	153
895	1309	151
896	1310	150
897	1311	148
898	1312	147
899	1313	145
900	1315	144
901	1316	143
902	1317	141
903	1318	140
904	1319	138
905	1320	137
906	1321	135
907	1323	134
908	1324	132
909	1325	131
910	1326	129
911	1327	128
912	1328	126
913	1330	125
914	1331	123
915	1332	122
916	1334	120
917	1335	119
918	1336	117
919	1338	116
920	1341	115
921	1342	113
922	1343	112
923	1344	110
924	1345	109
925	1346	107
926	1348	106
927	1349	104
928	1351	103
929	1352	101
930	1353	100
931	1354	98
932	1355	97
933	1356	95
934	1358	94
935	1359	92
936	1361	91
937	1362	90
938	1363	88
939	1364	87
940	1365	85
941	1366	84
942	1367	82
943	1368	81
944	1369	79
945	1370	78
946	1372	76
947	1373	75
948	1374	73
949	1375	72
950	1376	70
951	1377	69
952	1378	68
953	1380	66
954	1381	65
955	1382	63
956	1383	62
957	1385	60
958	1386	59
959	1387	57
960	1389	56
961	1390	54
962	1391	53
963	1393	52
964	1395	50
965	1396	49
966	1398	47
967	1399	46
968	1401	44
969	1402	43
970	1404	41
971	1406	40
972	1408	39
973	1410	37
974	1411	36
975	1413	34
976	1414	33
977	1415	31
978	1417	30
979	1418	28
980	1419	27
981	1420	26
982	1422	24
983	1424	23
984	1425	21
985	1426	20
986	1428	18
987	1429	17
988	1431	15
989	1432	14
990	1433	13
991	1435	11
992	1436	10
993	1437	8
994	1438	7
995	1440	5
996	1441	4
997	1442	2
998	1443	1
999	1445	0
